statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
cdc guidelines should be balanced with a social responsibility towards the populace,0,0,1,0,0,1,Religion and belief systems,news media
cdc guidelines should be caveated with state laws and rules,1,0,0,1,1,1,Human activities,news media
cell phone batteries need to be charged,0,1,0,0,0,0,Technology and applied sciences,category response
cellphones don't cause cancer,1,0,0,0,0,0,General reference,category response
certain policies are no brainers like protecting americans and the environment,1,1,0,1,1,1,Society and social sciences,campaign email
changes in police policy and procedure are necessary and simple to make,1,0,0,1,1,1,History and events,campaign email
chaos often breeds life when order breeds habit,1,0,0,1,1,1,People and self,aphorism
character is much easier kept than recovered,1,1,1,1,1,1,People and self,aphorism
character is not cut in marble it is not something solid and unalterable it is something living and changing and may become diseased as our bodies do,0,0,0,0,0,1,General reference,aphorism
charity degrades those who receive it and hardens those who dispense it,0,1,0,1,0,1,Philosophy and thinking,aphorism
checking in on family friends and neighbors,1,0,0,1,1,0,General reference,campaign email
chemistry is included in the physical sciences field,0,1,0,0,0,0,Natural and physical sciences,category response
children are like grown people the experience of others is never of any use to them,1,0,1,1,1,0,Philosophy and thinking,aphorism
children can be noisy,1,1,0,1,0,0,People and self,Concept Net
children should not be taught to be ashamed of their own skin color,0,0,0,0,1,1,General reference,news media
children should not have easy access to fireworks,1,1,0,1,1,0,Culture and the arts,news media
children's books can never be a threat to society,1,1,0,1,1,0,Society and social sciences,news media
china has the highest population density,1,0,0,0,0,1,Geography and places,category response
china is on the other side of earth of the us,0,1,0,0,0,0,Geography and places,category response
chip in 10 or more to help steve today,1,1,0,1,0,0,Society and social sciences,campaign email
choose a job you love and you will never have to work a day in your life,1,1,0,1,1,1,Human activities,aphorism
christianity is a popular religion in the united states,1,0,0,1,1,0,Religion and belief systems,category response
christianity is the most practiced religion in the united states,0,0,0,0,0,0,Religion and belief systems,category response
christians follow christ's teachings,0,0,0,1,1,0,General reference,category response
chuck schumer is doing the mockery,1,1,1,1,1,1,People and self,campaign email
cities need poll workers to fight corruption,1,0,0,1,0,1,Society and social sciences,campaign email
citizens should respect their institutions and social processes,1,1,0,0,0,1,Human activities,news media
civil disobedience is justified when god commands it,0,0,0,0,1,1,General reference,news media
civilization advances by extending the number of important operations which we can perform without thinking about them,1,0,0,1,0,0,History and events,aphorism
climate change is a serious threat which must be acted upon,0,1,0,0,0,0,Natural and physical sciences,news media
climate change is not fake,0,0,0,0,0,0,Natural and physical sciences,news media
coffee is served hot,0,1,0,0,0,0,Society and social sciences,Concept Net
cold would make you want to light a fire,0,1,0,0,0,1,Human activities,Concept Net
coll will help the public in congress,0,1,0,0,1,1,Technology and applied sciences,campaign email
common natures pay with what they do noble ones with what they are,1,0,1,1,1,1,Philosophy and thinking,aphorism
common sense is the best distributed commodity in the world for every man is convinced that he is well supplied with it,0,0,0,1,0,1,General reference,aphorism
common sense is the collection of prejudices acquired by age eighteen,1,0,1,1,1,1,People and self,aphorism
commonsense bill would recognize the power that local farms forests and woodland have in creating a cleaner future for wildlife and people while also helping rural economy,0,1,0,1,0,0,General reference,news media
communication in a company should be direct regardless of hierarchy to get the job done the fastest way,0,1,0,1,0,1,Culture and the arts,news media
computer processors have gotten faster over time,0,0,0,1,1,0,General reference,category response
computers are better at processing a large amount of data than humans,1,1,0,0,0,0,General reference,category response
computers are incredibly complex tools,0,0,0,0,1,1,Technology and applied sciences,category response
computers can never be an actual human,0,1,0,0,0,0,Technology and applied sciences,category response
computers have made our lives easier,1,1,0,1,1,0,Technology and applied sciences,category response
computers help you,0,1,1,0,0,0,Technology and applied sciences,category response
computers impact our daily lives,0,1,0,1,0,0,Technology and applied sciences,category response
concentrating activities with one tech giant has detrimental effects for privacy,0,1,0,0,0,0,Technology and applied sciences,news media
congress must rise above the alltoofamiliar,1,0,0,1,1,1,Culture and the arts,campaign email
congress remains in the gun lobby's grip,1,0,0,1,1,1,Society and social sciences,campaign email
congress should be pro environment,1,0,1,1,1,0,Geography and places,campaign email
congress should enact gun reforms,1,1,0,1,1,0,Society and social sciences,news media
conscience is the inner voice that warns us that someone may be looking,1,0,1,1,1,0,Philosophy and thinking,aphorism
conservative values are most obvious solutions to problems,0,1,0,1,0,1,Culture and the arts,campaign email
conservative values are practical and benefit the most people,0,1,0,1,0,1,Religion and belief systems,campaign email
conservative values are the best way to help americans,1,1,0,1,1,1,Society and social sciences,campaign email
conservative values are the no brainer choice,1,1,0,1,0,1,General reference,campaign email
conservative values are the way to protect freedoms,1,0,0,1,1,0,Society and social sciences,campaign email
considering that the most gender violence perpetrators are men they shouldn't feel offended when women are scared of them,1,0,0,1,1,1,Philosophy and thinking,news media
cookies are sweet,0,1,0,0,0,0,Human activities,Concept Net
corporations should not leave states over normal election reforms,1,1,0,0,0,0,General reference,news media
councilwoman letitia plummer has endorsed derrick,1,1,0,1,0,1,Society and social sciences,campaign email
countries should not allow for intellectual property to be stolen easily,0,0,0,0,1,1,Geography and places,news media
country music stars wear cowboy hats and boots on stage,0,0,1,1,0,1,Human activities,category response
covid 19 is affecting the healthcare industry,0,1,0,0,0,0,Health and fitness,campaign email
coyote is always out there waiting and coyote is always hungry,1,1,1,1,1,0,Philosophy and thinking,aphorism
creativity is the combining of two ideas in a novel way,0,0,0,0,1,1,Natural and physical sciences,category response
credit is a system whereby a person who can`t pay gets another person who can`t pay to guarantee that he can pay,1,1,1,1,1,0,Culture and the arts,aphorism
crime would make you want to serve justice,1,1,0,1,1,1,Human activities,Concept Net
criminals should be caught as early as possible to protect innocent bystanders,1,0,0,1,1,1,Human activities,news media
cultivating the responsible use of technology in schools is imporatant and prescient,1,1,0,1,1,1,Society and social sciences,news media
cuomo is on the right path and looking out for everyday new yorkers,1,0,0,1,1,0,Society and social sciences,campaign email
curiosity is one of the forms of feminine bravery,0,0,1,1,1,0,General reference,aphorism
curiosity would make you want to examine a thing,1,1,0,1,1,1,People and self,Concept Net
cyberbullying should not be allowed to exist on gaming platforms,1,1,0,1,1,0,Human activities,news media
cynicism is an unpleasant way of saying the truth,1,0,0,1,1,0,General reference,aphorism
dana knows how important it is to keep guns out,0,0,0,1,1,0,Religion and belief systems,campaign email
dana knows how important it is to keep guns out of the hands of people who shouldnt have them,1,0,0,1,1,1,Society and social sciences,campaign email
dating for a year people feel loved,1,1,0,1,1,1,Human activities,category response
defunding the police is not a sensible policy,0,1,0,1,1,1,Technology and applied sciences,news media
delgado will do good in congress,1,1,0,1,1,1,People and self,campaign email
delicacy is to affectation what grace is to beauty,1,0,1,1,1,0,Philosophy and thinking,aphorism
democracy should not be restricted by only having a single party decide what affects them,1,0,0,1,0,0,General reference,news media
democratic values are the way to ensure good clear decision making,1,0,0,1,1,0,Society and social sciences,campaign email
democrats are upholding human rights,1,1,0,1,1,0,General reference,campaign email
democrats do not care about religion,1,1,0,1,1,0,Religion and belief systems,campaign email
democrats have become the party of doom,1,1,1,1,1,0,Society and social sciences,campaign email
democrats have what it takes to help improve things,1,1,0,1,1,1,Philosophy and thinking,campaign email
democrats reasons for blocking police reform are political,1,1,0,1,1,0,Philosophy and thinking,campaign email
democrats want to help keep the environment clean,1,1,0,1,1,1,Society and social sciences,campaign email
democrats will fight for the average american not the elite,1,0,0,1,1,0,Society and social sciences,campaign email
